eff_date,hdd,cdd,temp_natl
1/1/1950,20.3086,0.198,44.8894
1/2/1950,18.2063,0.4503,47.244
1/3/1950,19.4923,0.5609,46.0686
1/4/1950,23.2511,0.5603,42.3092
1/5/1950,26.5144,0.5621,39.0477
1/6/1950,24.9683,0.3967,40.4284
1/7/1950,29.3583,0.1702,35.8119
1/8/1950,30.8251,0.1161,34.291
1/9/1950,23.9926,0.2094,41.2168
1/10/1950,19.7302,0.3234,45.5932
1/11/1950,25.0164,0.2228,40.2064
1/12/1950,24.8798,0.5083,40.6285
1/13/1950,20.8809,0.4827,44.6018
1/14/1950,21.9085,0.3122,43.4037
1/15/1950,23.4119,0.7289,42.317
1/16/1950,25.8729,0.5039,39.631
1/17/1950,25.8047,0.454,39.6493
1/18/1950,25.5412,0.5125,39.9713
1/19/1950,30.0142,0.3262,35.312
1/20/1950,29.7402,0.1974,35.4572
1/21/1950,24.7921,0.1811,40.389
1/22/1950,18.4893,0.3365,46.8472
1/23/1950,17.0931,0.6298,48.5367
1/24/1950,16.1715,1.2871,50.1156
1/25/1950,18.1962,1.6151,48.4189
1/26/1950,21.5288,0.8332,44.3044
1/27/1950,28.0961,0.3567,37.2606
1/28/1950,26.5205,0.2392,38.7187
1/29/1950,23.7026,0.5809,41.8783
1/30/1950,28.6255,0.5283,36.9028
1/31/1950,29.8488,0.6427,35.7939
2/1/1950,29.5869,0.5944,36.0075
2/2/1950,27.6971,0.5247,37.8276
2/3/1950,29.2061,0.2613,36.0552
2/4/1950,26.3375,0.2354,38.8979
2/5/1950,23.1326,0.1983,42.0657
2/6/1950,19.6297,0.1859,45.5562
2/7/1950,21.4542,0.4717,44.0175
2/8/1950,24.4305,0.4607,41.0302
2/9/1950,21.0417,0.282,44.2403
2/10/1950,21.4783,0.2578,43.7795
2/11/1950,21.2565,0.4058,44.1493
2/12/1950,21.6701,0.5916,43.9215
2/13/1950,22.3055,0.4925,43.187
2/14/1950,22.3021,0.505,43.2029
2/15/1950,23.6665,0.1975,41.531
2/16/1950,25.6051,0.0007,39.3956
2/17/1950,24.8986,0,40.1014
2/18/1950,23.8688,0.0106,41.1418
2/19/1950,26.4407,0.0318,38.5911
2/20/1950,30.091,0.022,34.931
2/21/1950,28.0352,0.0525,37.0173
2/22/1950,26.7194,0.1691,38.4497
2/23/1950,26.1492,0.3059,39.1567
2/24/1950,25.0871,0.1657,40.0786
2/25/1950,27.6208,0.3332,37.7124
2/26/1950,30.3944,0.3615,34.9671
2/27/1950,29.0601,0.2695,36.2094
2/28/1950,23.9207,0.3758,41.4551
3/1/1950,25.399,0.2089,39.8099
3/2/1950,33.9859,0.0008,31.0149
3/3/1950,31.6226,0.0008,33.3782
3/4/1950,25.4604,0.156,39.6956
3/5/1950,18.5442,0.3611,46.8169
